Алгоритм,Кластеров,Silhouette,Davies-Bouldin,Calinski-Harabasz,ARI,NMI
K-Means,2,0.6849049887276646,0.6611881648472194,3040.4646977184466,0.018519417302936523,0.1332148214164537
Agglomerative,2,0.6756586720281041,0.6874110014419512,2919.9436118671615,0.01922814040871167,0.13581941044765267
DBSCAN,47,0.6974165049686702,0.22422759457845248,5384.348351747765,0.10293390439977203,0.5493288027281281
