Число отработанных человеко-часов  по территории Республики Беларусь
тысяч человеко-часов
Территория Республики Беларусь;2019;2020;2021;2022;2023
Республика Беларусь;5290983,0;5146791,1;5117977,2;4992503,0;4883053,5
    Брестская область;729767,9;706621,5;703258,6;686840,3;676504,7
    Витебская область;636002,2;614755,8;608950,8;593109,9;576719,5
    Гомельская область;783115,5;765147,3;759376,0;744051,4;725508,8
    Гродненская область;599197,5;576903,6;571581,1;554284,8;542258,4
    г. Минск;1133273,1;1116128,4;1116800,5;1084349,3;1052310,3
    Минская область;829494,6;807242,6;804663,0;790095,9;784608,9
    Могилевская область;580132,2;559991,9;553347,2;539771,4;525142,9
