year,region,indicator,value
2008,Республика Беларусь,GDP_Billion_USD,62.8
2009,Республика Беларусь,GDP_Billion_USD,50.9
2010,Республика Беларусь,GDP_Billion_USD,57.2
2011,Республика Беларусь,GDP_Billion_USD,61.8
2012,Республика Беларусь,GDP_Billion_USD,65.7
2013,Республика Беларусь,GDP_Billion_USD,75.5
2014,Республика Беларусь,GDP_Billion_USD,78.8
2015,Республика Беларусь,GDP_Billion_USD,56.5
2016,Республика Беларусь,GDP_Billion_USD,47.7
2017,Республика Беларусь,GDP_Billion_USD,54.7
2018,Республика Беларусь,GDP_Billion_USD,60.0
2019,Республика Беларусь,GDP_Billion_USD,64.4
2020,Республика Беларусь,GDP_Billion_USD,61.4
2021,Республика Беларусь,GDP_Billion_USD,69.7
2022,Республика Беларусь,GDP_Billion_USD,72.9
1990,Республика Беларусь,GDP_Per_Capita,1868.0
1991,Республика Беларусь,GDP_Per_Capita,1899.0
1992,Республика Беларусь,GDP_Per_Capita,1752.0
1993,Республика Беларусь,GDP_Per_Capita,1657.0
1994,Республика Беларусь,GDP_Per_Capita,1496.0
1995,Республика Беларусь,GDP_Per_Capita,1369.0
1996,Республика Беларусь,GDP_Per_Capita,1436.0
1997,Республика Беларусь,GDP_Per_Capita,1401.0
1998,Республика Беларусь,GDP_Per_Capita,1519.0
1999,Республика Беларусь,GDP_Per_Capita,1217.0
2000,Республика Беларусь,GDP_Per_Capita,1050.0
2001,Республика Беларусь,GDP_Per_Capita,1252.0
2002,Республика Беларусь,GDP_Per_Capita,1489.0
2003,Республика Беларусь,GDP_Per_Capita,1831.0
2004,Республика Беларусь,GDP_Per_Capita,2393.0
2005,Республика Беларусь,GDP_Per_Capita,3144.0
2006,Республика Беларусь,GDP_Per_Capita,3870.0
2007,Республика Беларусь,GDP_Per_Capita,4764.0
2008,Республика Беларусь,GDP_Per_Capita,6417.0
2009,Республика Беларусь,GDP_Per_Capita,5214.0
2010,Республика Беларусь,GDP_Per_Capita,5881.0
2011,Республика Беларусь,GDP_Per_Capita,6363.0
2012,Республика Беларусь,GDP_Per_Capita,6776.0
2013,Республика Беларусь,GDP_Per_Capita,7793.0
2014,Республика Беларусь,GDP_Per_Capita,8130.0
2015,Республика Беларусь,GDP_Per_Capita,5820.0
2016,Республика Беларусь,GDP_Per_Capita,4916.0
2017,Республика Беларусь,GDP_Per_Capita,5637.0
2018,Республика Беларусь,GDP_Per_Capita,6192.0
2019,Республика Беларусь,GDP_Per_Capita,6658.0
2020,Республика Беларусь,GDP_Per_Capita,6370.0
2021,Республика Беларусь,GDP_Per_Capita,7274.0
2022,Республика Беларусь,GDP_Per_Capita,7643.0
1990,Республика Беларусь,GDP_World_Share,0.085
1991,Республика Беларусь,GDP_World_Share,0.082
1992,Республика Беларусь,GDP_World_Share,0.071
1993,Республика Беларусь,GDP_World_Share,0.066
1994,Республика Беларусь,GDP_World_Share,0.056
1995,Республика Беларусь,GDP_World_Share,0.046
1996,Республика Беларусь,GDP_World_Share,0.047
1997,Республика Беларусь,GDP_World_Share,0.046
1998,Республика Беларусь,GDP_World_Share,0.05
1999,Республика Беларусь,GDP_World_Share,0.038
2000,Республика Беларусь,GDP_World_Share,0.032
2001,Республика Беларусь,GDP_World_Share,0.038
2002,Республика Беларусь,GDP_World_Share,0.043
2003,Республика Беларусь,GDP_World_Share,0.047
2004,Республика Беларусь,GDP_World_Share,0.054
2005,Республика Беларусь,GDP_World_Share,0.065
2006,Республика Беларусь,GDP_World_Share,0.074
2007,Республика Беларусь,GDP_World_Share,0.08
2008,Республика Беларусь,GDP_World_Share,0.098
2009,Республика Беларусь,GDP_World_Share,0.084
2010,Республика Беларусь,GDP_World_Share,0.086
2011,Республика Беларусь,GDP_World_Share,0.083
2012,Республика Беларусь,GDP_World_Share,0.087
2013,Республика Беларусь,GDP_World_Share,0.097
2014,Республика Беларусь,GDP_World_Share,0.099
2015,Республика Беларусь,GDP_World_Share,0.075
2016,Республика Беларусь,GDP_World_Share,0.062
2017,Республика Беларусь,GDP_World_Share,0.067
2018,Республика Беларусь,GDP_World_Share,0.069
2019,Республика Беларусь,GDP_World_Share,0.073
2020,Республика Беларусь,GDP_World_Share,0.072
2021,Республика Беларусь,GDP_World_Share,0.072
2022,Республика Беларусь,GDP_World_Share,0.072
1993,Республика Беларусь,Inflation_CPI,1190.2
1994,Республика Беларусь,Inflation_CPI,2221.0
1995,Республика Беларусь,Inflation_CPI,709.4
1996,Республика Беларусь,Inflation_CPI,52.7
1997,Республика Беларусь,Inflation_CPI,63.9
1998,Республика Беларусь,Inflation_CPI,72.9
1999,Республика Беларусь,Inflation_CPI,293.7
2000,Республика Беларусь,Inflation_CPI,168.6
2001,Республика Беларусь,Inflation_CPI,61.1
2002,Республика Беларусь,Inflation_CPI,42.5
2003,Республика Беларусь,Inflation_CPI,28.4
2004,Республика Беларусь,Inflation_CPI,18.1
2005,Республика Беларусь,Inflation_CPI,10.3
2006,Республика Беларусь,Inflation_CPI,7.0
2007,Республика Беларусь,Inflation_CPI,8.4
2008,Республика Беларусь,Inflation_CPI,14.8
2009,Республика Беларусь,Inflation_CPI,13.0
2010,Республика Беларусь,Inflation_CPI,7.7
2011,Республика Беларусь,Inflation_CPI,53.2
2012,Республика Беларусь,Inflation_CPI,59.2
2013,Республика Беларусь,Inflation_CPI,18.3
2014,Республика Беларусь,Inflation_CPI,18.1
2015,Республика Беларусь,Inflation_CPI,13.5
2016,Республика Беларусь,Inflation_CPI,11.8
2017,Республика Беларусь,Inflation_CPI,6.0
2018,Республика Беларусь,Inflation_CPI,4.9
