Среднесписочная численность работников по территории Республики Беларусь
чел.
Территория Республики Беларусь;2019;2020;2021;2022;2023
Республика Беларусь;3511180;3416971;3371002;3315064;3283845
    Брестская область;464424;452926;445934;439738;436925
    Витебская область;396132;382740;376040;370174;365185
    Гомельская область;476341;463807;458411;452938;446575
    Гродненская область;375717;365167;359574;352317;347913
    г. Минск;878053;855937;847671;827684;820065
    Минская область;563519;550027;543469;537563;538432
    Могилевская область;356994;346367;339903;334650;328750
