Номинальная начисленная среднемесячная заработная плата по территории Республики Беларусь
руб.
Территория Республики Беларусь;2019;2020;2021;2022;2023
Республика Беларусь;1092,9;1254,6;1443,5;1633,2;1915,9
    Брестская область;929,2;1054,6;1205,8;1386,8;1655,4
    Витебская область;911,8;1038,3;1181,0;1350,0;1593,8
    Гомельская область;955,8;1079,4;1248,5;1424,7;1696,7
    Гродненская область;931,3;1062,1;1216,7;1412,2;1682,2
    г. Минск;1495,2;1753,4;2024,1;2255,1;2569,1
    Минская область;1079,6;1223,5;1414,3;1596,7;1898,6
    Могилевская область;891,6;1010,0;1147,3;1305,9;1564,0
