user	dir	file	read	write	execute
iit22	pzs11	file54	НЕТ	НЕТ	НЕТ
iit22	pzs11	file55	НЕТ	НЕТ	НЕТ
iit22	pzs12	file11	НЕТ	НЕТ	НЕТ
iit22	pzs12	file12	НЕТ	НЕТ	НЕТ
iit22	pzs12	file13	НЕТ	НЕТ	НЕТ
iit22	pzs12	file14	НЕТ	НЕТ	НЕТ
iit22	pzs12	file15	НЕТ	НЕТ	НЕТ
iit22	pzs12	file21	НЕТ	НЕТ	НЕТ
iit22	pzs12	file22	НЕТ	НЕТ	НЕТ
iit22	pzs12	file23	НЕТ	НЕТ	НЕТ
iit22	pzs12	file24	НЕТ	НЕТ	НЕТ
iit22	pzs12	file25	НЕТ	НЕТ	НЕТ
iit22	pzs12	file31	НЕТ	НЕТ	НЕТ
iit22	pzs12	file32	НЕТ	НЕТ	НЕТ
iit22	pzs12	file33	НЕТ	НЕТ	НЕТ
iit22	pzs12	file34	НЕТ	НЕТ	НЕТ
iit22	pzs12	file35	НЕТ	НЕТ	НЕТ
iit22	pzs12	file41	НЕТ	НЕТ	НЕТ
iit22	pzs12	file42	НЕТ	НЕТ	НЕТ
iit22	pzs12	file43	НЕТ	НЕТ	НЕТ
iit22	pzs12	file44	НЕТ	НЕТ	НЕТ
iit22	pzs12	file45	НЕТ	НЕТ	НЕТ
iit22	pzs12	file51	НЕТ	НЕТ	НЕТ
iit22	pzs12	file52	НЕТ	НЕТ	НЕТ
iit22	pzs12	file53	НЕТ	НЕТ	НЕТ
iit22	pzs12	file54	НЕТ	НЕТ	НЕТ
iit22	pzs12	file55	НЕТ	НЕТ	НЕТ
iit22	pzs13	file11	НЕТ	НЕТ	НЕТ
iit22	pzs13	file12	НЕТ	НЕТ	НЕТ
iit22	pzs13	file13	НЕТ	НЕТ	НЕТ
iit22	pzs13	file14	НЕТ	НЕТ	НЕТ
iit22	pzs13	file15	НЕТ	НЕТ	НЕТ
iit22	pzs13	file21	НЕТ	НЕТ	НЕТ
iit22	pzs13	file22	НЕТ	НЕТ	НЕТ
iit22	pzs13	file23	НЕТ	НЕТ	НЕТ
iit22	pzs13	file24	НЕТ	НЕТ	НЕТ
iit22	pzs13	file25	НЕТ	НЕТ	НЕТ
iit22	pzs13	file31	ДА	НЕТ	НЕТ
iit22	pzs13	file32	ДА	ДА	НЕТ
iit22	pzs13	file33	НЕТ	ДА	НЕТ
iit22	pzs13	file34	ДА	ДА	ДА
iit22	pzs13	file35	НЕТ	НЕТ	ДА
iit22	pzs13	file41	ДА	НЕТ	НЕТ
iit22	pzs13	file42	ДА	ДА	НЕТ
