Метрика,KNeighbors,Neural_Network,Разница
Accuracy,0.88,0.99845,0.11844999999999994
Precision,0.91,0.9978252004893299,0.08782520048932985
Recall,0.74,0.9979608482871125,0.2579608482871125
F1-Score,0.82,0.9978930197784273,0.1778930197784273
